,X1,X2,X3,Y1,Y2,Y3,V1,V2,V3,alpha,lon,lat,scalarproduct_XY,sun,cluster,id_int,J00,J45,J90,J135,A00,A45,A90,A135
0,-0.5651104134995979,0.5686921598373592,0.5976951128241161,-0.6929132495499765,0.06605654482939967,-0.7179886917516833,-0.5942921659633408,-0.7831032784823593,0.18321047105660115,1.3402383485854121,2.353035444246235,0.6406231019445187,-0.0,-4.342712402343764,0.0,4.0,1.0,0.33,0.0,0.67,1.3402383485854121,0.5548401851879639,0.2305579782094844,1.0159561416069327
1,-0.5773960783343014,0.5801639265816357,0.5744767941505972,-0.8133843565366826,-0.4697959781332366,-0.34307087820338555,-0.3786666244708084,-0.8136514718832852,0.44111548353469454,1.0016444470669015,2.353803389117113,0.6119647956267719,0.0,-4.186805725097656,0.0,4.0,0.67,0.0,0.33,1.0,1.0016444470669015,0.21624628366945306,0.5691518797279952,1.3545500431254436
2,-0.5731120842161564,0.5836512050614195,0.5752337001217557,-0.8162578397139199,-0.34442259788339336,-0.46378466250278155,-0.444040227039179,-0.8111476956627436,0.3806148875070648,1.0868165332063522,2.3470838714969346,0.6128898201303288,-0.0,-4.0024566650390625,0.0,2.0,1.0,0.33,0.67,1.0,1.0868165332063522,0.30141836980890396,0.4839797935885443,1.2693779569859927
3,-0.5768469238013972,0.573894535908647,0.581285375831066,-0.6954114671161431,0.02831221876200013,-0.718053834800808,-0.5843492285189534,-0.7871610016186666,0.1972651430435733,1.325926654045381,2.3587601241927763,0.6203074694513047,0.0,-4.377517700195327,0.0,2.0,0.67,0.33,0.67,1.0,1.325926654045381,0.5405284906479326,0.2448696727495157,1.030267836146964
4,-0.5664415290755457,0.5812451940288006,0.5842071709222505,0.596651898541781,0.7782485719290883,-0.19579497505508894,-0.8153326820287469,-0.292122706012591,-0.49989693162460186,2.234370582971651,2.343296507020107,0.6239028477104129,0.0,-3.968498229980483,0.0,2.0,0.33,1.0,0.67,0.33,2.234370582971651,1.4489724195742029,0.6635742561767546,0.12182390722069368
5,-0.5656942238408287,0.5814318163809283,0.5847453189321801,-0.45244770778715493,0.37399279211716513,-0.809580424147321,-0.7034281485789977,-0.7102992735745489,0.02576396216018959,1.539031339734922,2.3424762022716696,0.6245660728261707,-0.0,-3.9500808715820455,0.0,4.0,1.0,0.67,0.0,0.67,1.539031339734922,0.7536331763374737,0.03176498705997462,0.8171631504574229
6,-0.5668505651040563,0.5822542362400439,0.5828039475001308,-0.5974797810582385,-0.7776212017405085,0.1957630655416056,-0.12120017325952531,-0.7586836972264415,0.6400855923739249,0.6637486932281549,2.3427903615370282,0.6221749717509386,0.0,-3.94482421875,0.0,3.0,0.33,0.0,0.67,1.0,0.6637486932281549,0.12164947016929337,0.9070476335667417,1.6924457969641902
7,-0.5633600705465327,0.585745026284825,0.5826904796685761,-0.20871972584471454,-0.7832771912872246,0.5855876686308411,0.10522882291431251,-0.6486440871896803,0.7537822915019528,0.38309978412856077,2.336716615740088,0.6220353454107791,0.0,-3.7743911743164062,0.0,2.0,0.33,0.67,1.0,1.0,0.38309978412856077,0.4022983792688875,1.1876965426663357,1.973094706063784
8,-0.5629072414087006,0.5841304217009672,0.5847453189321801,-0.3719026389026524,0.45280556364497215,-0.8103428587390664,-0.7292908263604743,-0.6839447044650141,-0.018829015394360427,1.594009237804354,2.3376940001212048,0.6245660728261707,-0.0,-3.8162689208984375,0.0,4.0,1.0,0.67,0.0,0.67,1.594009237804354,0.8086110744069057,0.023212911009457417,0.7621852523879908
9,-0.565177957454601,0.5849523630913513,0.5817255446697256,-0.5509560511879456,-0.792476413577447,0.26158853870690374,-0.09026106600915618,-0.7447611222102835,0.6611987680017031,0.6216862609182525,2.3390029970602004,0.6208485215194229,0.0,-3.831298828125,0.0,3.0,0.33,0.0,0.67,1.0,0.6216862609182525,0.16371190247919573,0.949110065876644,1.7345082292740923
