,X1,X2,X3,Y1,Y2,Y3,V1,V2,V3,alpha,lon,lat,scalarproduct_XY,sun,cluster,id_int,J00,J45,J90,J135,A00,A45,A90,A135
0,-0.5731120842161564,0.5836512050614195,0.5752337001217557,-0.8162578397139199,-0.34442259788339336,-0.46378466250278155,-0.444040227039179,-0.8111476956627436,0.3806148875070648,1.0868165332063522,2.3470838714969346,0.6128898201303288,-0.0,-4.0024566650390625,0.0,2.0,1.0,0.33,0.67,1.0,1.0868165332063522,0.30141836980890396,0.4839797935885443,1.2693779569859927
1,-0.5768469238013972,0.573894535908647,0.581285375831066,-0.6954114671161431,0.02831221876200013,-0.718053834800808,-0.5843492285189534,-0.7871610016186666,0.1972651430435733,1.325926654045381,2.3587601241927763,0.6203074694513047,0.0,-4.377517700195327,0.0,2.0,0.67,0.33,0.67,1.0,1.325926654045381,0.5405284906479326,0.2448696727495157,1.030267836146964
2,-0.5664415290755457,0.5812451940288006,0.5842071709222505,0.596651898541781,0.7782485719290883,-0.19579497505508894,-0.8153326820287469,-0.292122706012591,-0.49989693162460186,2.234370582971651,2.343296507020107,0.6239028477104129,0.0,-3.968498229980483,0.0,2.0,0.33,1.0,0.67,0.33,2.234370582971651,1.4489724195742029,0.6635742561767546,0.12182390722069368
3,-0.5633600705465327,0.585745026284825,0.5826904796685761,-0.20871972584471454,-0.7832771912872246,0.5855876686308411,0.10522882291431251,-0.6486440871896803,0.7537822915019528,0.38309978412856077,2.336716615740088,0.6220353454107791,0.0,-3.7743911743164062,0.0,2.0,0.33,0.67,1.0,1.0,0.38309978412856077,0.4022983792688875,1.1876965426663357,1.973094706063784
4,-0.5627865924863146,0.5876891722352721,0.581285375831066,-0.3931180097040351,-0.8088967147496194,0.437200566460762,0.005088071593816912,-0.7007463563487588,0.713392357396261,0.5017821599483697,2.334552407467615,0.6203074694513047,0.0,-3.7040328979492188,0.0,2.0,0.0,0.33,1.0,0.67,0.5017821599483697,0.28361600344907856,1.069014166846527,1.8544123302439752
5,-0.5550402234800805,0.593523301225358,0.5828039475001308,0.49678186428060056,-0.32544396104100043,0.804545839305527,-0.44854226541360737,0.37649426837853883,-0.8105935492068377,3.0710814689883104,2.3227016218465737,0.6221749717509386,0.0,-3.387199401855483,0.0,2.0,0.0,1.0,0.67,0.33,3.0710814689883104,2.285683305590862,1.5002851421934136,0.7148869787959653
6,-0.5526843950815257,0.5957176497399022,0.5828039475001308,-0.044774700805820196,-0.7195319011024436,0.6930144799812287,0.18265364744495727,-0.5957278304881305,0.7821419289725866,0.2747148202691658,2.318739724444547,0.6221749717509386,0.0,-3.277984619140625,0.0,2.0,0.33,0.67,1.0,1.0,0.2747148202691658,0.5106833431282825,1.2960815065257307,2.081479669923179
7,-0.549545874814663,0.5988212099387344,0.5825911859972625,-0.6065129521589221,-0.7655250181756181,0.21474050714918397,-0.13370086332149034,-0.7513744091308447,0.6461892729304335,0.6517059453578438,2.3133117504708443,0.6219131723631395,-0.0,-3.128112792968764,0.0,2.0,0.33,0.0,0.67,1.0,0.6517059453578438,0.13369221803960454,0.9190903814370528,1.704488544834501
8,-0.5768685653946898,0.5680758506297632,0.5869518601987249,0.7990951205840644,0.24352319339674094,0.5496757612780402,-0.6643076006055941,0.09185263167130286,-0.7417941128323239,2.7293459694898874,2.36387393890112,0.627288786459282,0.0,-4.565032958984375,0.0,2.0,0.33,1.0,1.0,0.67,2.7293459694898874,1.9439478060924391,1.1585496426949908,0.37315147929754255
9,-0.5745016856366066,0.5708036432333033,0.58662680988196,0.49916538657209525,-0.3236686883900973,0.8037863503470091,-0.4585152997992215,0.3692601664439069,-0.8083382023187128,3.0803316927185915,2.3594233493085346,0.6268873607313232,0.0,-4.437904357910156,0.0,2.0,0.0,1.0,1.0,0.67,3.0803316927185915,2.2949335293211433,1.509535365923695,0.7241372025262466
10,-0.5642982472605081,0.5805643822591728,0.5869518601987249,0.7735164753562218,0.12334746670414698,0.6216571923577792,-0.6289378101044117,0.15823986878230295,-0.7611815650347993,2.7939230985504557,2.341987510081111,0.627288786459282,-0.0,-3.9514694213867188,0.0,2.0,0.33,1.0,1.0,0.67,2.7939230985504557,2.0085249351530075,1.2231267717555592,0.43772860835811095
11,-0.5623800889662255,0.5824226552458248,0.5869518601987249,-0.1264644564445775,-0.7620723651991115,0.6350216149518139,0.14887773257017178,-0.6269194379117846,0.7647270356886413,0.33457961893889354,2.338688837794842,0.627288786459282,-0.0,-3.860198974609375,0.0,2.0,0.0,0.33,1.0,0.67,0.33457961893889354,0.4508185444585548,1.2362167078560031,2.021614871253451
12,-0.5584542868933196,0.5864142782986428,0.5867257482486651,0.7784846951421759,0.12619329486864914,0.6148469986586808,-0.6307301607199632,0.1592352331299319,-0.7594890419803473,2.7872907621717227,2.331777333956944,0.6270095337789628,0.0,-3.666809082031236,0.0,2.0,0.0,0.67,0.0,0.33,2.7872907621717227,2.0018925987742744,1.2164944353768259,0.4310962719793776
13,-0.5511037325266944,0.5943883196057813,0.5856510919577981,-0.8150896332094034,-0.5337205945432454,-0.22532469193358462,-0.34693509557199315,-0.8015295369754548,0.48701790605311945,0.9262462287070685,2.318425565179188,0.6256830835474472,0.0,-3.2884521484375,0.0,2.0,0.67,0.0,0.67,1.0,0.9262462287070685,0.1408480653096202,0.644550098087828,1.4299482614852763
